1;<b>No.1 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Air pipe leakage<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check air supply line leakage<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Overspeed burst compresore wheel, small dent on rear of compressore wheel<br/><font color="red">D. Recommended Action</font><br>Replace or repair leakage from air pipe
2;<b>No.2 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Burned Valves<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine head condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned, over speeding, Excessive temperature (over heating)<br/><font color="red">D. Recommended Action</font><br>Replace or repair engine head valves total failure of turbocharger
3;<b>No.3 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Restricted exhaust systems<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check for restricted Catalyst converter<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Gas leakage from VNT bush, potential VNT vane stick<br/><font color="red">D. Recommended Action</font><br>Replace Coked restricted, catalyst converter
4;<b>No.4 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil pump malfunction<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil pressure, condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage, Discolouration of shaft ( Red or Blue)<br/><font color="red">D. Recommended Action</font><br>Repair engine oil filtration system, clean breather system, check for journal bearing rubbed / wheel damage / change turbo or core assembly
5;<b>No.5 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Fuel pump malfunction or incorrect fuel timing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check fuel injection system for correct function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned, over speeding, Excessive temperature (over heating)<br/><font color="red">D. Recommended Action</font><br>Repair fuel system, check for journal bearing rubbed / wheel damage / change turbo or core assembly, VNT sticking
6;<b>No.6 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Worn or damaged injectors<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check fuel injection system for correct function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned, over speeding, Excessive temperature (over heating)<br/><font color="red">D. Recommended Action</font><br>Repair fuel system, check for journal bearing rubbed / wheel damage / change turbo or core assembly, VNT sticking
7;<b>No.7 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Valve timing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check fuel injection system for correct function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Overheating of turbine housing, turbine blade get burned or damage<br/><font color="red">D. Recommended Action</font><br>Repair engine, road test for performance issues
8;<b>No.8 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Worn Piston Rings<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine compression, general condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Coked turbine housing, Tight rotation of chra core assembly due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Repair engine, road test for performance issues, check turbo for damage
9;<b>No.9 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Burned pistons<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine compression, general condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Coked turbine housing, Tight rotation of chra core assembly due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Repair engine, road test for performance issues, check turbo for damage
10;<b>No.10 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil leakage from feed line<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check Condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Repair leakage on oil feed pipe, check turbo for damage
11;<b>No.11 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil supply delay at engine start-up<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil pressure, condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Repair engine, check for journal bearing rubbed / wheel damage / change turbo or core assembly
12;<b>No.12 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Insufficient lubrication<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil pressure, condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage, Discolouration of shaft ( Red or Blue)<br/><font color="red">D. Recommended Action</font><br>Repair engine, check for journal bearing rubbed / wheel damage / change turbo or core assembly
13;<b>No.13 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Lubricating oil contaminated with dirt , sludge, water and non-combusted fuel end up in oil by this dilution<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil /filter condition, service history<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Dirty oil causes grooves in journal bearing, Worn piston rings and carbon built up on shaft<br/><font color="red">D. Recommended Action</font><br>Repair engine oil filtration system, change engine oil, clean breather system, check for journal bearing rubbed / wheel damage / change turbo or core assembly
14;<b>No.14 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Low quality oil (un branded) oil used<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil /filter condition, service history<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Dirty oil causes grooves in journal bearing, Worn piston rings and carbon built up on shaft<br/><font color="red">D. Recommended Action</font><br>Repair engine oil filtration system, change engine oil, clean breather system, check for journal bearing rubbed / wheel damage / change turbo or core assembly
15;<b>No.15 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Excessive Engine pre-oil<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check exhaust system for oil contamination<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Tight rotation of chra due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Run engine under load to clear deposits
16;<b>No.16 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Restricted drain line<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check oil drain pipe for restrictions<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil leakage from piston ring seal into turbine housings, tight rotation of chra due to carbon built up, VNT blade sticking due to carbon built up<br/><font color="red">D. Recommended Action</font><br>Replace  oil drain pipe, check turbo for tight rotation of turbine wheel and VNT sticking
17;<b>No.17 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Too fast acceleration at initial start (oil Delay)<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil pressure, condition of oil feed pipe and Vehicle operation conditions<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Check vehicle operation procedures
18;<b>No.18 Potential causes</b><br><font color="red">A. Potential causes</font><br/>To little warm up time<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Vehicle operating conditions<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Check vehicle operation procedures
19;<b>No.19 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Exhaust manifold cracked, burned, gasket loose, blown or missing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check for gas leakage, fastener torques<br/><font color="red">C. Turbocharger condition and Effects</font><br/>No Risk<br/><font color="red">D. Recommended Action</font><br>Repair or replace exhaust system
20;<b>No.20 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Plugged Crankcase Breather<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check breather pipes/ housing for blockages and repair<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil leakage from piston ring seal into turbine housings, tight rotation of chra due to carbon built up<br/><font color="red">D. Recommended Action</font><br>Repair breather system, Check fir tight rotation of core assembly (chra)
21;<b>No.21 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Air cleaner Element missing, leaking or loose connections to turbo<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check induction systems and repair<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Foreign object, corrosion damage<br/><font color="red">D. Recommended Action</font><br>Repair induction system
22;<b>No.22 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Turbine housing damaged or restricted<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check turbine housing for external damage<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Foreign object, journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
23;<b>No.23 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Turbocharger seal leakage<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check Turbine outlet for evidence of oil deposits and induction system for excess oil ingress<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil leakage from piston ring seal into turbine housings, tight rotation of chra due to carbon built up, VNT blade sticking due to carbon built up<br/><font color="red">D. Recommended Action</font><br>Check evidence of oil leakage in exhaust / induction intercooler system
24;<b>No.24 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Restricted oil feed line<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil pressure, condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Replace oil feed pipe & check routing away from heat, change oil / use oem filter of correct specification
25;<b>No.25 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Inlet manifold cracked, gasket loose or missing, connection loose<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check induction system and repair<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage , overspeed<br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
26;<b>No.26 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Restricted or damage cross over pipes turbocharger to inlet manifold<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check induction system and repair<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage , overspeed<br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
27;<b>No.27 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Excessive Engine idle<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Vehicle operation condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil pull over from piston,  Tight rotation of chra due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Run engine under load to clear deposits
28;<b>No.28 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Coked or sludge center housing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check Engine oil level, Air filter and oil filter, service history<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage failure, oil leakage from piston ring<br/><font color="red">D. Recommended Action</font><br>Repair engine oil filtration system, clean breather system, check for journal bearing rubbed / wheel damage / change turbo or core assembly
29;<b>No.29 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil bath air cleaner-air inlet screen restricted/ dirty air cleaner<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check air filter condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil pull over, foreign object, corrosion, bearing damage, overspeed<br/><font color="red">D. Recommended Action</font><br>Repair or replace air filter
30;<b>No.30 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil bath air cleaner-oil pull-over/ oil viscosity low or high<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check air filter condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil pull over, foreign object, corrosion, bearing damage, overspeed<br/><font color="red">D. Recommended Action</font><br>Repair or replace air filter
31;<b>No.31 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Dirty air Cleaner Element<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check air filter condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Oil pull over, foreign object, corrosion, bearing damage, overspeed<br/><font color="red">D. Recommended Action</font><br>Repair or replace air filter
32;<b>No.32 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Collapsed or restricted air pipe before turbocharger<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check condition of pipe and filter and repair<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Overspeed<br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
33;<b>No.33 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Excessive carbon built-up behind turbine wheel<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check breather pipes/ housing for blockages and repair, Check engine condition, compression test<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Tight rotation of chra due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Repair engine, check for journal bearing rubbed / wheel damage / change turbo or core assembly
34;<b>No.34 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Foreign object between air cleaner and turbocharger<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check induction system pipe and clips<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Foreign object, corrosion damage<br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
35;<b>No.35 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Excessive dirt built-up on compressor housing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check air filter condition and check EGR function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Tight rotation of chra due to carbon built up<br/><font color="red">D. Recommended Action</font><br>Replace air filter, check engine breather for correct operation
36;<b>No.36 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Foreign object in exhaust system (from engine like broken piston ring valve sheet , melted piston material, etc<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine compression, general condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned<br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
37;<b>No.37 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil filter plugged<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check Engine oil level, Air filter and oil filter, service history<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage (rubbed), lack of lubrication or contamination due to leakage<br/><font color="red">D. Recommended Action</font><br>Repair engine oil filtration system, clean breather system, check for journal bearing rubbed / wheel damage / change turbo or core assembly
38;<b>No.38 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Worn journal bearing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check Turbo Core Assembly Rotation for damage<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage <br/><font color="red">D. Recommended Action</font><br>Check for journal bearing rubbed / wheel damage / change turbo or core assembly
39;<b>No.39 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Boost control malfunction-waste gate<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Run engine diagnostic test, check codes logged, check function of wastegate manually<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage , overspeed<br/><font color="red">D. Recommended Action</font><br>Check waste gate for correct operation, change turbo
40;<b>No.40 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Boost control malfunction - VNT<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Run engine diagnostic test, check codes logged<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage , overspeed<br/><font color="red">D. Recommended Action</font><br>Check waste gate for correct operation, change turbo
41;<b>No.41 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Boost control malfunction- Engine management system<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Run engine diagnostic test, check codes logged<br/><font color="red">C. Turbocharger condition and Effects</font><br/>VNT vane lock up, core assembly rotation tight<br/><font color="red">D. Recommended Action</font><br>Check VNT assembly for correct operation, change turbo
42;<b>No.42 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Turbocharger flanges, clamp bolts loose<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check for gas leakage, fastener torques<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Flange distortion, leakage<br/><font color="red">D. Recommended Action</font><br/>Check distortion (play),leakage, carbon built-up, replace turbo or core assembly (chra)